manuscript_object,manuscript_value,source_script,source_file,source_variable,notes
Table 4 rho 2.00%: largest-component interval,"[0.27570,\ 0.27621]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 4 rho 3.00%: fixed interval,"[0.07594,\ 0.08098]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 4 rho 3.00%: largest-component interval,"[0.08540,\ 0.08588]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 4 rho 3.44%: fixed interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 4 rho 3.44%: largest-component interval,"[0.00004,\ 0.00082]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 4 rho 4.00%: fixed interval,"[-0.11429,\ -0.10928]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 4 rho 4.00%: largest-component interval,"[-0.10307,\ -0.10261]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 5: Mass in components shared with the other target Target A,1.0000,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,target_mass_shared_components_original_target_denominator,Denominator is original target mass.
Table 5: Mass in components shared with the other target Target B,0.2797,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,target_mass_shared_components_original_target_denominator,Denominator is original target mass.
Table 5: Component Herfindahl index Target A,0.9999,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,component_hhi_original_target_denominator,Denominator is original target mass.
Table 5: Component Herfindahl index Target B,0.1742,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,component_hhi_original_target_denominator,Denominator is original target mass.
Table 5: Mass in largest common component Target A,0.3706,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,largest_common_component_original_target_denominator,Denominator is original target mass.
Table 5: Mass in largest common component Target B,0.2612,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,largest_common_component_original_target_denominator,Denominator is original target mass.
Table 6: Current-goods unit components,3737,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Table 6: Current-goods unit interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Table 6: Unit path, $\theta=0.25$ components",62,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Table 6: Unit path, $\theta=0.25$ interval","[-0.01611,\ -0.00281]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Table 6: Unit path, $\theta=0.50$ components",62,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Table 6: Unit path, $\theta=0.50$ interval","[-0.08342,\ -0.02136]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Table 6: Unit path, $\theta=0.75$ components",47,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Table 6: Unit path, $\theta=0.75$ interval","[-0.28857,\ 0.30268]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Table 6: Age-state rescaled unit components,37,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Table 6: Age-state rescaled unit interval,"[-0.48701,\ 0.50273]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Table 6: Direct raw Euler proxy wedge components,77,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Table 6: Direct raw Euler proxy wedge interval,"[-0.97832,\ 0.98022]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Table 6: Illustrative lower-tail completion components,not applicable,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Table 6: Illustrative lower-tail completion interval,"[-0.02902,\ -0.02402]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Table 7 tolerance 0.001: interval,"[-0.00374,\ -0.00350]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Table 7 tolerance 0.001: candidate support share,0.5686,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Table 7 tolerance 0.002: interval,"[-0.00664,\ -0.00506]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Table 7 tolerance 0.002: candidate support share,0.7438,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Table 7 tolerance 0.005: interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Table 7 tolerance 0.005: candidate support share,0.8993,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Table 7 tolerance 0.010: interval,"[-0.01055,\ -0.00219]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Table 7 tolerance 0.010: candidate support share,0.9268,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Text: maintained graph vertices,72171,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,node_count,
Text: maintained graph edges,249501,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,edge_count,
Text: maintained graph components,3737,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,component_count,
Text: maintained graph independent cycles,181067,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,independent_cycles,
Manuscript data statement: replication URL,https://github.com/sbuhai/current-cell-matching-project,python/run_final_diagnostics.py,main.tex,Data and code availability,
